LOGOTIME,trap-xcor,trap-ycor
2010-01-01 12:00:11.154,13,-10
2010-01-01 12:00:11.194,16,-10
2010-01-01 12:00:11.200,11,-11
2010-01-01 12:00:11.211,9,1
2010-01-01 12:00:11.229,12,-5
2010-01-01 12:00:11.238,0,0
2010-01-01 12:00:11.241,8,2
2010-01-01 12:00:11.249,13,-13
2010-01-01 12:00:11.261,-2,-3
2010-01-01 12:00:11.298,-2,3
2010-01-01 12:00:11.301,-8,13
2010-01-01 12:00:11.324,-4,12
2010-01-01 12:00:11.325,1,8
2010-01-01 12:00:11.335,-7,8
2010-01-01 12:00:11.342,2,-14
2010-01-01 12:00:11.350,-6,15
2010-01-01 12:00:11.366,9,-11
2010-01-01 12:00:11.375,13,1
2010-01-01 12:00:11.392,-11,0
2010-01-01 12:00:11.409,-16,5
2010-01-01 12:00:11.419,12,-6
2010-01-01 12:00:11.472,-15,-10
2010-01-01 12:00:11.475,-11,5
2010-01-01 12:00:11.476,15,7
2010-01-01 12:00:11.485,1,10
2010-01-01 12:00:11.515,10,14
2010-01-01 12:00:11.530,-3,-1
2010-01-01 12:00:11.546,-4,1
2010-01-01 12:00:11.571,-5,-2
2010-01-01 12:00:11.591,-16,7
2010-01-01 12:00:11.596,-3,-6
2010-01-01 12:00:11.596,-5,13
2010-01-01 12:00:11.599,-7,9
2010-01-01 12:00:11.629,-3,0
2010-01-01 12:00:11.631,-11,1
2010-01-01 12:00:11.636,13,-11
2010-01-01 12:00:11.658,-10,10
2010-01-01 12:00:11.664,-14,9
2010-01-01 12:00:11.684,3,-16
2010-01-01 12:00:11.691,-9,-3
2010-01-01 12:00:11.696,10,8
2010-01-01 12:00:11.706,-10,6
2010-01-01 12:00:11.745,-4,-1
2010-01-01 12:00:11.749,-13,6
2010-01-01 12:00:11.754,-7,-1
2010-01-01 12:00:11.759,-9,11
2010-01-01 12:00:11.761,-11,7
2010-01-01 12:00:11.763,12,-14
2010-01-01 12:00:11.775,14,-13
2010-01-01 12:00:11.791,-11,6
2010-01-01 12:00:11.797,-9,1
